section,sweep_param,sweep_value,sweep_label,param_B,value_B,signed_bias,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,cmro2_true,2.5,2.50,obs_std,1.0,-0.2358203099355416,0.2358203099355416,,,0.08082307583896153,,,5.248234058293333,,
CROSS,cmro2_true,2.5,2.50,obs_std,3.25,-0.31939114908380883,0.31939114908380883,,,0.15725951137041475,,,5.833016159233693,,
CROSS,cmro2_true,2.5,2.50,obs_std,5.5,-0.2347099468890752,0.2347099468890752,,,0.1893197687128508,,,5.4626839275325985,,
CROSS,cmro2_true,2.5,2.50,obs_std,7.75,-0.20785626632961574,0.20785626632961574,,,0.20525860668151483,,,5.684705654447903,,
CROSS,cmro2_true,2.5,2.50,obs_std,10.0,-0.14467812299970229,0.14467812299970229,,,0.2186934663302827,,,5.397919273318239,,
CROSS,cmro2_true,2.5,2.50,cmro2_std,0.1,-0.3312248695163307,0.3312248695163307,,,0.10431944248586504,,,5.7040747872130035,,
CROSS,cmro2_true,2.5,2.50,cmro2_std,0.325,-0.355968606629558,0.355968606629558,,,0.1232071252282025,,,5.769786419798539,,
CROSS,cmro2_true,2.5,2.50,cmro2_std,0.55,-0.400784338632028,0.400784338632028,,,0.11804449435088589,,,5.744253784857641,,
CROSS,cmro2_true,2.5,2.50,cmro2_std,0.775,-0.34445778404898375,0.34445778404898375,,,0.12793769057011942,,,5.720442602966673,,
CROSS,cmro2_true,2.5,2.50,cmro2_std,1.0,-0.25278619434138605,0.25278619434138605,,,0.1424660170858658,,,5.337703626960815,,
CROSS,obs_std,1.0,1.00,cmro2_std,0.1,-0.2798611277202325,0.2798611277202325,,,0.06992408457779609,,,4.664004113741516,,
CROSS,obs_std,1.0,1.00,cmro2_std,0.325,-0.6654798416079477,0.6654798416079477,,,0.0766483296543966,,,4.415677532071969,,
CROSS,obs_std,1.0,1.00,cmro2_std,0.55,-0.16556702380200639,0.16556702380200639,,,0.08002215734075532,,,4.319795466762352,,
CROSS,obs_std,1.0,1.00,cmro2_std,0.775,-0.3441393257468186,0.3441393257468186,,,0.09012001378685759,,,5.355542222050092,,
CROSS,obs_std,1.0,1.00,cmro2_std,1.0,-0.4293463796120074,0.4293463796120074,,,0.08772331493006551,,,6.02747594632666,,
